ID;NAME;STARS;LATITUDE;LONGITUDE;DESTINATION
101464;Hotel Etoile;3;-34,588,280;-58,391,310;Ciudad de Buenos Aires
10190;Exe Hotel Cataratas;5;-25,616,290;-54,558,330;Iguazú
10190;Exe Hotel Cataratas;3;-25,615,873;-54,557,827;Iguazú
102430;Lagos Del Calafate;4;-50,344,450;-72,250,087;El Calafate
102430;Lagos Del Calafate;4;-50,344,380;-72,249,871;El Calafate
102430;Lagos Del Calafate;4;-50,344,080;-72,249,390;El Calafate
102430;Lagos del Calafate;4;-50,343,925;-72,248,602;El Calafate
102430;Lagos Del Calafate (ex Unique);4;-50,344,450;-72,250,087;El Calafate
102606;Design cE - Hotel Boutique de Diseño;4;-34,597,160;-58,391,660;Ciudad de Buenos Aires
102606;Design cE - Hotel Boutique de Diseño;4;-34,597,092;-58,391,449;Ciudad de Buenos Aires
102606;Design CE Hotel de Diseño;4;-34,597,092;-58,391,449;Ciudad de Buenos Aires
102608;Hostería Lupama;3;-50,342,490;-72,245,150;El Calafate
102608;Hostería Lupama;3;-50,342,407;-72,245,321;El Calafate
102922;Amérian Portal del Iguazú Hotel;4;-25,595,981;-54,589,305;Iguazú
102922;Amérian Portal del Iguazú Hotel;4;-25,595,940;-54,589,490;Iguazú
102922;Amérian Portal del Iguazú Hotel;4;-25,594,920;-54,590,850;Iguazú
103379;Viamonte Buenos Aires Apart;3;-34,600,480;-58,386,280;Ciudad de Buenos Aires
103384;Vain Boutique Hotel;4;-34,583,654;-58,424,976;Ciudad de Buenos Aires
103385;Dolmen Hotel;3;-34,595,710;-58,379,948;Ciudad de Buenos Aires
103385;Dolmen Hotel;3;-34,595,462;-58,380,037;Ciudad de Buenos Aires
103389;Design Suites Calafate;5;-50,318,395;-72,250,525;El Calafate
103389;Design Suites Calafate;5;-50,318,270;-72,250,710;El Calafate
103393;Bagu Ushuaia Hotel;3;-54,750,958;-68,197,430;Ushuaia
104159;A Hotel;3;-34,593,621;-58,399,279;Ciudad de Buenos Aires
104159;A Hotel;3;-34,593,600;-58,399,380;Ciudad de Buenos Aires
105599;Centuria Hotel Buenos Aires;3;-34,607,930;-58,379,310;Ciudad de Buenos Aires
105599;Centuria Hotel Buenos Aires;4;-34,607,807;-58,379,368;Ciudad de Buenos Aires
106454;Costa Galana;4;-38,027,760;-57,533,650;Mar del Plata
106454;Hotel Costa Galana;5;-38,027,690;-57,533,770;Mar del Plata
106678;Hotel Del Comahue;3;-38,951,070;-68,058,810;Neuquen
106678;Hotel Del Comahue;3;-38,951,026;-68,058,912;Neuquen
106877;Embajador Hotel;3;-34,594,538;-58,381,355;Ciudad de Buenos Aires
106877;Embajador Hotel;3;-34,594,381;-58,381,385;Ciudad de Buenos Aires
107067;Feir's Park Hotel;4;-34,591,749;-58,378,403;Ciudad de Buenos Aires
107067;Feir's Park Hotel;4;-34,591,480;-58,378,180;Ciudad de Buenos Aires
107347;Gran Hotel Buenos Aires;3;-34,596,293;-58,377,884;Ciudad de Buenos Aires
107347;Gran Hotel Buenos Aires;3;-34,596,236;-58,377,931;Ciudad de Buenos Aires
107350;Hotel Iruña;3;-37,999,350;-57,542,150;Mar del Plata
107350;Hotel Iruña;3;-37,999,287;-57,542,110;Mar del Plata
107637;Holiday Inn Córdoba;3;-31,363,595;-64,219,704;Córdoba
107637;Holiday Inn Córdoba;3;-31,363,480;-64,219,550;Córdoba
107637;Holiday Inn Córdoba;3;-31,363,403;-64,219,520;Córdoba
107777;Holiday Inn Rosario;3;-32,940,480;-60,648,230;Rosario
107777;Holiday Inn Rosario;3;-32,940,480;-60,648,220;Rosario
107777;Holiday Inn Rosario;4;-32,940,290;-60,648,380;Rosario
107890;Las Balsas Relais & Chateaux;5;-40,783,105;-71,624,391;Villa la Angostura
107890;Las Balsas Relais & Chateaux;5;-40,779,870;-71,629,090;Villa la Angostura
108349;Las Hayas Resort Hotel;4;-54,808,741;-68,351,030;Ushuaia
108349;Las Hayas Resort Hotel;4;-54,805,170;-68,357,580;Ushuaia
108530;Loi Suites Esmeralda;3;-34,596,430;-58,378,569;Ciudad de Buenos Aires
109045;Aeroparque Inn and Suites;3;-34,569,730;-58,396,110;Ciudad de Buenos Aires
109045;Aeroparque Inn and Suites;3;-34,569,511;-58,398,550;Ciudad de Buenos Aires
110066;Regis Orho Hotel;3;-34,602,376;-58,378,291;Ciudad de Buenos Aires
110109;Globales Republica;3;-34,604,310;-58,382,250;Ciudad de Buenos Aires
110109;Globales Republica;3;-34,604,243;-58,382,273;Ciudad de Buenos Aires
110300;Hotel Riviera;3;-38,003,560;-57,543,540;Mar del Plata
110300;Hotel Riviera;3;-38,003,113;-57,543,968;Mar del Plata
110438;Los Cerros Boutique Hotel & Spa by DON;4;-49,328,762;-72,888,350;El Chalten
110438;Los Cerros del Chalten Boutique Hotel;4;-49,328,850;-72,890,560;El Chalten
110438;Los Cerros del Chalten Boutique Hotel;4;-49,328,762;-72,888,350;El Chalten
110820;Hotel Sheltown;3;-34,596,317;-58,377,558;Ciudad de Buenos Aires
111661;Windsor Hotel & Tower;4;-31,418,860;-64,183,770;Córdoba
111661;Windsor Hotel And Tower;4;-31,418,860;-64,183,770;Córdoba
111661;Windsor Hotel And Tower;4;-31,418,710;-64,183,670;Córdoba
11234;Cyan Hotel de las Americas;3;-34,596,580;-58,384,298;Ciudad de Buenos Aires
11302;Wyndham Garden Ushuaia Hotel del Glaciar;4;-54,804,679;-68,357,171;Ushuaia
11302;Wyndham Garden Ushuaia Hotel del Glaciar;4;-54,804,520;-68,357,550;Ushuaia
122315;Mirador del Lago Hotel;4;-50,339,400;-72,281,170;El Calafate
122315;Mirador del Lago Hotel;4;-50,339,384;-72,281,600;El Calafate
122316;NH Collection Buenos Aires Lancaster;4;-34,598,509;-58,372,937;Ciudad de Buenos Aires
122316;NH Collection Buenos Aires Lancaster;4;-34,598,420;-58,373,020;Ciudad de Buenos Aires
122318;San Remo City Hotel;3;-34,608,292;-58,384,898;Ciudad de Buenos Aires
122320;Conte Hotel;3;-34,607,210;-58,380,620;Ciudad de Buenos Aires
122321;Las Cumbres Apart & Suites;3;-40,150,270;-71,336,690;San Martin de los Andes
122321;Las Cumbres Apart & Suites;3;-40,150,102;-71,336,706;San Martin de los Andes
122321;Las Cumbres Apart & Suites;3;-40,149,731;-71,336,306;San Martin de los Andes
122322;Rincón del Calafate;3;-50,343,540;-72,253,300;El Calafate
122322;Rincón del Calafate;3;-50,343,495;-72,253,530;El Calafate
122323;Wilson Apart Hotel;3;-24,790,733;-65,415,393;Salta
124046;Maitre Hotel Boutique;3;-34,570,690;-58,431,140;Ciudad de Buenos Aires
124047;Ribera Sur Hotel;3;-34,621,380;-58,368,500;Ciudad de Buenos Aires
124048;Atenea Apartments & Suites;3;-34,582,272;-58,443,058;Ciudad de Buenos Aires
124050;Epico Recoleta Hotel;3;-34,588,390;-58,400,775;Ciudad de Buenos Aires
124051;Waldorf Hotel;3;-34,597,642;-58,373,612;Ciudad de Buenos Aires
124051;Waldorf Hotel;3;-34,597,428;-58,373,612;Ciudad de Buenos Aires
124051;Waldorf Hotel;3;-34,597,420;-58,373,630;Ciudad de Buenos Aires
124052;Art Factory On Tap;2;-34,605,930;-58,378,280;Ciudad de Buenos Aires
124052;Art Factory On Tap;2;-34,605,926;-58,378,275;Ciudad de Buenos Aires
124053;Sarum Hotel Design;3;-34,554,260;-58,462,910;Ciudad de Buenos Aires
124053;Sarum Hotel Design;3;-34,554,096;-58,462,872;Ciudad de Buenos Aires
124054;Hosteria Austral;2;-50,339,291;-72,261,983;El Calafate
124054;Hosteria Austral;2;-50,338,760;-72,261,900;El Calafate
124055;Edenia Punta Soberana;4;-50,311,831;-72,312,335;El Calafate
124055;Edenia Punta Soberana;4;-50,310,900;-72,312,460;El Calafate
124056;Blanca Patagonia Boutique Inn and Cabins;4;-50,338,682;-72,306,529;El Calafate
124056;Blanca Patagonia Boutique Inn and Cabins;4;-50,337,810;-72,306,170;El Calafate
124058;Correntoso Lake & River Hotel;4;-40,735,970;-71,675,030;Villa la Angostura
124058;Correntoso Lake & River Hotel;4;-40,734,324;-71,674,097;Villa la Angostura
124058;Correntoso Lake & River Hotel;4;-40,734,320;-71,674,100;Villa la Angostura
129056;Hostería Koi-Aiken;3;-50,335,109;-72,307,378;El Calafate
129057;Hotel Mendoza;3;-32,889,641;-68,841,994;Mendoza
129872;King David Flat Hotel;3;-31,410,660;-64,184,830;Córdoba
129872;King David Flat Hotel - Argentina;4;-31,411,290;-64,184,970;Córdoba
129874;Bahía Redonda Hotel;3;-50,336,954;-72,272,565;El Calafate
129875;Hosteria Hainen;3;-50,333,882;-72,255,760;El Calafate
129876;Hotel Picos del Sur;3;-50,334,794;-72,254,028;El Calafate
129876;Hotel Picos del Sur;3;-50,334,790;-72,254,030;El Calafate
129876;Hotel Picos del Sur;3;-50,334,770;-72,253,820;El Calafate
129877;Hosteria Los Helechos;3;-25,599,144;-54,568,955;Iguazú
129877;Hosteria Los Helechos;3;-25,599,110;-54,568,900;Iguazú
129877;Hosteria Los Helechos;3;-25,599,026;-54,568,947;Iguazú
129878;La Aldea de la Selva Lodge;4;-25,615,590;-54,556,090;Iguazú
129878;La Aldea de la Selva Lodge;3;-25,614,388;-54,554,667;Iguazú
129883;Hotel Traful;3;-37,993,750;-57,546,460;Mar del Plata
129883;Traful;3;-37,993,812;-57,546,440;Mar del Plata
129886;Hotel Carollo;3;-32,888,490;-68,846,960;Mendoza
129886;Hotel Carollo;3;-32,888,489;-68,846,962;Mendoza
129886;Hotel Carollo;3;-32,888,420;-68,846,960;Mendoza
129887;Hotel América;2;-32,883,685;-68,859,725;Mendoza
129887;Hotel América;2;-32,883,517;-68,859,961;Mendoza
129888;Hotel Provincial;3;-32,887,071;-68,849,011;Mendoza
129888;Hotel Provincial;3;-32,886,976;-68,849,171;Mendoza
129889;Amérian Executive Mendoza Hotel;4;-32,892,489;-68,848,785;Mendoza
129889;Amérian Executive Mendoza Hotel;4;-32,889,372;-68,849,764;Mendoza
129890;Hotel Internacional;3;-32,888,880;-68,849,100;Mendoza
129890;Hotel Internacional;3;-32,888,880;-68,848,600;Mendoza
129892;Sheraton Salta Hotel;5;-24,785,486;-65,398,912;Salta
129892;Sheraton Salta Hotel;5;-24,785,460;-65,398,730;Salta
129893;Alejandro I Hotel;5;-24,786,902;-65,412,098;Salta
129895;Hotel Tres Reyes;3;-41,132,750;-71,307,820;Bariloche
129895;Hotel Tres Reyes Bariloche;3;-41,132,720;-71,307,860;Bariloche
129896;Nido del Condor Hotel & Spa;5;-41,121,277;-71,370,326;Bariloche
129896;Nido del Condor Hotel & Spa;5;-41,119,510;-71,385,690;Bariloche
129899;Hotel Carlos V Bariloche;3;-41,135,948;-71,310,068;Bariloche
129899;Hotel Carlos V Patagonia;3;-41,135,900;-71,310,287;Bariloche
129899;Hotel Carlos V Patagonia;3;-41,135,892;-71,310,089;Bariloche
129900;Crans Montana Hotel;3;-41,133,480;-71,303,830;Bariloche
129900;Hotel Crans Montana;3;-41,133,478;-71,303,826;Bariloche
129900;Hotel Crans Montana;3;-41,133,450;-71,303,810;Bariloche
133109;La Perla;3;-34,610,685;-58,405,804;Ciudad de Buenos Aires
133260;Mine Hotel Boutique;4;-34,590,903;-58,429,000;Ciudad de Buenos Aires
133313;Swiss Hotel Metropol;4;-26,830,976;-65,204,960;San Miguel de Tucuman
133314;Garden Park Suites & Eventos;3;-26,828,271;-65,193,384;San Miguel de Tucuman
133314;Garden Park Suites & Eventos;3;-26,828,049;-65,193,648;San Miguel de Tucuman
133315;Hotel Francia;3;-26,832,424;-65,204,279;San Miguel de Tucuman
133315;Hotel Francia;3;-26,832,413;-65,204,423;San Miguel de Tucuman
133316;Hosteria Bella Vista;3;-54,819,151;-68,350,851;Ushuaia
133318;Las Lengas Hotel;3;-54,812,019;-68,325,005;Ushuaia
133319;Del Bosque Apart Hotel;3;-54,804,040;-68,310,410;Ushuaia
133319;Del Bosque Apart Hotel;3;-54,803,700;-68,310,540;Ushuaia
133319;Hostal del Bosque;3;-54,803,971;-68,310,311;Ushuaia
133320;Albatros Hotel;3;-54,807,290;-68,304,630;Ushuaia
135275;Hotel Presidente;3;-38,000,610;-57,543,530;Mar del Plata
135275;Hotel Presidente;3;-37,999,460;-57,542,590;Mar del Plata
135290;Hotel Valles;3;-37,999,070;-57,545,020;Mar del Plata
135291;Hotel Dion;3;-37,999,924;-57,544,487;Mar del Plata
135291;Hotel Dion;2;-37,999,920;-57,544,440;Mar del Plata
135299;Gran Hotel Skorpios;3;-37,993,780;-57,548,920;Mar del Plata
135299;Gran Hotel Skorpios;3;-37,993,760;-57,548,830;Mar del Plata
135300;Hotel Guerrero;3;-37,999,210;-57,542,170;Mar del Plata
135301;San Remo Grand Hotel;2;-38,002,430;-57,545,520;Mar del Plata
135301;San Remo Grand Hotel;2;-38,002,296;-57,545,599;Mar del Plata
135303;Hosteria Via Rondine;3;-54,827,080;-68,331,220;Ushuaia
136275;Hotel Spa Republica;4;-38,001,590;-57,548,540;Mar del Plata
136275;Hotel Spa Republica;4;-38,001,389;-57,548,327;Mar del Plata
136339;Loi Suites Chapelco Hotel;5;-40,115,630;-71,205,980;San Martin de los Andes
136339;Loi Suites Chapelco Hotel;5;-40,115,064;-71,205,653;San Martin de los Andes
136630;Hotel del Virrey;3;-24,784,480;-65,413,160;Salta
136633;Hotel Territorio;4;-42,785,510;-65,003,250;Puerto Madryn
136633;Hotel Territorio;4;-42,785,440;-65,003,605;Puerto Madryn
137710;Palermo Suites Buenos Aires Hotel & Apartments;3;-34,578,810;-58,423,920;Ciudad de Buenos Aires
137710;Palermo Suites Buenos Aires Hotel & Apartments;3;-34,578,629;-58,423,769;Ciudad de Buenos Aires
137717;Ultra Hotel Buenos Aires;4;-34,589,666;-58,430,428;Ciudad de Buenos Aires
138566;Babel Palermo;3;-34,584,546;-58,438,589;Ciudad de Buenos Aires
138649;Hotel Arenales;3;-34,590,390;-58,406,818;Ciudad de Buenos Aires
138664;Australis Yene Hue;4;-42,764,170;-65,034,710;Puerto Madryn
138664;Australis Yene Hue;3;-42,764,091;-65,034,643;Puerto Madryn
138664;Australis Yene Hue;3;-42,764,090;-65,034,640;Puerto Madryn
138745;Park Silver Obelisco Hotel;3;-34,604,705;-58,382,265;Ciudad de Buenos Aires
138803;Cordon del Plata;3;-32,885,652;-68,839,456;Mendoza
138803;Cordon del Plata;3;-32,885,440;-68,839,480;Mendoza
138884;Estancia La Quinta;3;-49,358,228;-72,869,787;El Chalten
138996;Hosteria Los Hielos;4;-50,334,850;-72,310,770;El Calafate
138996;Hosteria Los Hielos;4;-50,334,623;-72,307,227;El Calafate
138997;Hostería Meulen;3;-50,322,484;-72,258,111;El Calafate
138997;Hostería Meulen;3;-50,322,460;-72,256,460;El Calafate
139018;Imago Hotel & Spa;4;-50,336,203;-72,312,072;El Calafate
139089;Majestic Hotel Rosario;3;-32,944,800;-60,635,900;Rosario
139089;Majestic Hotel Rosario;3;-32,944,790;-60,636,050;Rosario
139190;Plaza Real Suites Hotel;4;-32,943,760;-60,645,210;Rosario
139190;Plaza Real Suites Hotel;4;-32,943,662;-60,645,218;Rosario
139190;Plaza Real Suites Hotel;3;-32,940,964;-60,638,483;Rosario
139190;Plaza Real Suites Hotel;3;-32,940,960;-60,638,480;Rosario
139223;Hotel Quorum Golf, Tenis & Spa;3;-31,336,770;-64,207,740;Córdoba
139223;Quorum Córdoba Hotel Golf, Tenis & Spa;4;-31,337,380;-64,207,000;Córdoba
139223;Quorum Córdoba Hotel, Resort Urbano;4;-31,337,380;-64,207,000;Córdoba
139223;Quorum Córdoba Hotel: Golf, Tenis & Spa;4;-31,337,313;-64,207,334;Córdoba
139293;Cyan Calafate Hotel;3;-50,336,085;-72,250,096;El Calafate
139302;Ros Tower Hotel;4;-32,940,460;-60,638,120;Rosario
139302;Ros Tower Hotel;4;-32,940,450;-60,638,050;Rosario
139302;Ros Tower Hotel;4;-32,940,425;-60,638,017;Rosario
139326;San Remo Park Hotel;2;-36,687,188;-56,679,170;San Bernardo
139327;San Remo Viking Hotel;3;-37,119,900;-56,861,700;Pinamar
139327;San Remo Viking Hotel;3;-37,119,880;-56,860,262;Pinamar
139363;Sol Arrayan Hotel & Spa;4;-40,749,636;-71,667,365;Villa la Angostura
139363;Sol Arrayan Hotel & Spa;4;-40,749,570;-71,668,050;Villa la Angostura
139367;Solares Del Sur Patagonia;3;-50,339,801;-72,301,788;El Calafate
139483;Hotel Tucumán Center;4;-26,827,840;-65,204,010;San Miguel de Tucuman
139483;Tucuman Center;3;-26,827,830;-65,204,120;San Miguel de Tucuman
139483;Tucuman Center Suites&Business;4;-26,827,960;-65,204,000;San Miguel de Tucuman
140103;Design Suites Salta;4;-24,787,064;-65,412,824;Salta
140103;Design Suites Salta;4;-24,787,030;-65,412,850;Salta
140104;Hotel Posada Del Sol;3;-24,791,072;-65,410,639;Salta
140107;Purobaires Hotel Boutique;4;-34,592,420;-58,431,230;Ciudad de Buenos Aires
141663;Hotel Marilian;3;-24,792,220;-65,409,930;Salta
141663;Hotel Marilian;3;-24,792,003;-65,409,859;Salta
141664;Hosteria Del Recodo;3;-54,832,190;-68,352,770;Ushuaia
141664;Hosteria del Recodo;3;-54,832,140;-68,352,520;Ushuaia
144470;CasaSur Recoleta;5;-34,588,970;-58,388,610;Ciudad de Buenos Aires
144470;CasaSur Recoleta;5;-34,588,916;-58,388,772;Ciudad de Buenos Aires
144471;Palermo Soho Loft;2;-34,591,480;-58,430,380;Ciudad de Buenos Aires
144473;Callao Suites;3;-34,596,392;-58,393,292;Ciudad de Buenos Aires
144482;Nuss Hotel Buenos Aires Soho;4;-34,588,013;-58,429,230;Ciudad de Buenos Aires
144485;Vitrum Hotel;4;-34,584,609;-58,437,576;Ciudad de Buenos Aires
144485;Vitrum Hotel;4;-34,584,520;-58,437,560;Ciudad de Buenos Aires
144487;ibis Buenos Aires Congreso;3;-34,610,001;-58,388,817;Ciudad de Buenos Aires
144491;Urban Suites Recoleta Boutique Hotel;4;-34,588,704;-58,392,520;Ciudad de Buenos Aires
144492;O2 Hotel Buenos Aires;3;-34,605,283;-58,396,706;Ciudad de Buenos Aires
144492;O2 Hotel Buenos Aires;3;-34,603,929;-58,396,960;Ciudad de Buenos Aires
144497;Hotel Napoleon;3;-34,608,856;-58,385,700;Ciudad de Buenos Aires
144500;Ker Belgrano Apart Hotel & Spa;3;-34,555,494;-58,460,685;Ciudad de Buenos Aires
144500;Ker Belgrano Hotel;3;-34,555,494;-58,460,685;Ciudad de Buenos Aires
144502;Kalenshen Hotel - Cerro Calafate;3;-50,344,382;-72,249,988;El Calafate
144502;Kalenshen Hotel Cerro Calafate;3;-50,344,310;-72,249,290;El Calafate
144502;Kalenshen Hotel Cerro Calafate;3;-50,344,032;-72,248,950;El Calafate
144508;Hotel del Fundador;3;-31,418,890;-64,178,724;Córdoba
144508;Hotel del Fundador;3;-31,418,867;-64,178,815;Córdoba
144515;Villaggio Hotel;4;-32,889,722;-68,847,445;Mendoza
144517;Hotel Nutibara;3;-32,892,250;-68,845,200;Mendoza
144517;Hotel Nutibara;3;-32,892,210;-68,845,020;Mendoza
144517;Nutibara;3;-32,892,219;-68,845,003;Mendoza
144518;Argentino Hotel;3;-32,888,498;-68,844,926;Mendoza
144519;ibis Mendoza Hotel;3;-32,909,298;-68,789,935;Mendoza
144519;ibis Mendoza Hotel;3;-32,905,570;-68,789,850;Mendoza
144520;Condor Suites Apart Hotel;3;-32,885,220;-68,850,359;Mendoza
144521;HOTEL SHERATON MENDOZA;5;-32,892,227;-68,838,001;Mendoza
144521;Sheraton Mendoza Hotel;5;-32,892,290;-68,838,190;Mendoza
144521;Sheraton Mendoza Hotel;5;-32,892,282;-68,838,373;Mendoza
144522;Howard Johnson Merlo Plaza Hotel Spa & Convention Center;4;-32,367,550;-65,016,600;Merlo, San Luis
144522;Howard Johnson Resort Spa & Convention Center;4;-32,367,550;-65,016,600;Merlo, San Luis
144523;Howard Johnson by Wyndham Plaza Hotel Mayorazgo;3;-31,719,681;-60,530,657;Parana
144523;Howard Johnson Plaza Hotel Mayorazgo;3;-31,719,681;-60,530,657;Parana
144528;Hotel Carmen;3;-25,622,010;-54,552,740;Iguazú
144528;Hotel Carmen;3;-25,621,741;-54,552,210;Iguazú
144529;CASA BEMBERG;4;-25,918,372;-54,617,329;Iguazú
144532;Hotel Rochester Bariloche;4;-41,119,949;-71,385,683;Bariloche
144532;Rochester Bariloche;4;-41,119,530;-71,385,490;Bariloche
144532;Rochester Bariloche;4;-41,119,467;-71,385,478;Bariloche
144537;Tierra Mora Hotel Boutique;3;-34,613,113;-68,353,723;San Rafael
144992;Urbanica The Suites Hotel;4;-34,552,960;-58,452,640;Ciudad de Buenos Aires
15291;Kau Yatun Hotel Boutique;4;-50,345,890;-72,253,050;El Calafate
15291;Kau Yatun Hotel Boutique;4;-50,345,510;-72,259,600;El Calafate
157255;Tower Inn and Suites;3;-34,612,770;-68,339,570;San Rafael
157255;Tower Inn and Suites;3;-34,612,755;-68,339,592;San Rafael
1589821;Hotel Francia;3;-37,312,270;-59,137,810;Tandil
1589836;Dazzler by Wyndham Rosario;4;-32,926,629;-60,665,596;Rosario
1589836;Dazzler by Wyndham Rosario;3;-32,926,380;-60,664,920;Rosario
1589842;Hotel Emperatriz;3;-27,498,779;-64,866,951;Termas, Santiago del Estero
1589844;Grand Brizo Buenos Aires;4;-34,606,330;-58,382,130;Ciudad de Buenos Aires
1589844;Grand Brizo Buenos Aires;4;-34,606,310;-58,382,150;Ciudad de Buenos Aires
1589845;Cyan Soho Neuquen Hotel;3;-38,949,370;-68,051,820;Neuquen
1589845;Cyan Soho Neuquen Hotel;3;-38,949,350;-68,051,870;Neuquen
1589863;Aguila Mora Suites & Spa;4;-41,123,305;-71,363,742;Bariloche
1589863;Aguila Mora Suites & Spa;4;-41,123,230;-71,363,740;Bariloche
1600117;Hotel Zentiva Pinamar;4;-37,111,250;-56,872,510;Pinamar
1600132;Hotel Brizo Salta;4;-24,786,590;-65,414,730;Salta
1600145;Hotel del Sol;2;-31,420,000;-64,176,770;Córdoba
1600337;HTL City Baires;4;-34,611,810;-58,377,720;Ciudad de Buenos Aires
1600337;Htl City Baires;4;-34,611,770;-58,377,680;Ciudad de Buenos Aires
1600966;Raíces Amambai Lodges;4;-25,596,574;-54,589,177;Iguazú
1600966;Raíces Amambai Lodges;4;-25,596,314;-54,586,649;Iguazú
1600966;Raíces Amambai Lodges;4;-25,596,180;-54,588,190;Iguazú
1602400;Own Madero;3;-34,612,570;-58,368,030;Ciudad de Buenos Aires
1602534;Top Rentals;3;-34,597,350;-58,378,420;Ciudad de Buenos Aires
1603238;Babel Apartments Recoleta;3;-34,596,860;-58,393,280;Ciudad de Buenos Aires
1604026;Posada los Tajibos;2;-25,601,350;-54,570,664;Iguazú
1604026;Posada los Tajibos;2;-25,601,240;-54,570,620;Iguazú
1604079;Hotel Sol Cataratas;2;-25,605,140;-54,560,040;Iguazú
1604079;Hotel Sol Cataratas;3;-25,600,850;-54,562,030;Iguazú
1604222;GrandView Hotel & Convention Center;3;-34,609,140;-58,400,340;Ciudad de Buenos Aires
1604268;Selvaje lodge Iguazu;4;-25,607,735;-54,558,170;Iguazú
1604268;Selvaje lodge Iguazu;4;-25,604,059;-54,553,132;Iguazú
1604268;Selvaje lodge Iguazu;4;-25,602,452;-54,555,221;Iguazú
1604271;Los Ñires Lodge;3;-41,168,730;-71,438,260;Bariloche
1604535;Mérit Iguazú Hotel;3;-25,593,730;-54,568,868;Iguazú
1604535;Mérit Iguazú Hotel;3;-25,593,720;-54,568,870;Iguazú
1604535;Mérit Iguazú Hotel;3;-25,593,490;-54,568,500;Iguazú
1604922;Tierra Gaucha Hostel II;1;-41,137,200;-71,306,180;Bariloche
1609872;Xima Aparts Bariloche;3;-41,133,670;-71,316,030;Bariloche
1610378;El Porteño;2;-34,612,020;-58,382,590;Ciudad de Buenos Aires
1610378;El Porteño;2;-34,612,020;-58,382,550;Ciudad de Buenos Aires
1615009;Yanquetruz Hostel Suite;2;-37,986,180;-57,548,230;Mar del Plata
1616028;Soho Point;3;-34,590,914;-58,427,294;Ciudad de Buenos Aires
1616625;Pura Vida Mae Hostel;2;-26,814,230;-65,294,570;San Miguel de Tucuman
1618111;Casa Umare;3;-34,606,190;-58,416,230;Ciudad de Buenos Aires
1620128;1080 Apartments;2;-31,415,620;-64,199,860;Córdoba
1620128;1080 Apartments;2;-31,415,480;-64,199,950;Córdoba
1622473;Apartamento Juncal;3;-34,577,460;-58,422,120;Ciudad de Buenos Aires
1623127;Holy Hostel Boutique;2;-34,587,450;-58,438,580;Ciudad de Buenos Aires
1623533;SUITES & STUDIOS 3;3;-34,579,790;-58,424,930;Ciudad de Buenos Aires
1623859;Sangiovese Club House;3;-34,637,060;-68,288,930;San Rafael
1628497;Nuevo Royal;2;-24,791,578;-65,402,966;Salta
1629184;Luz Y Fuerza San Bernardo - All Inclusive;3;-36,690,680;-56,677,810;San Bernardo
1629184;Luz Y Fuerza San Bernardo - All Inclusive;3;-36,690,670;-56,677,800;San Bernardo
1629803;Ushuaia Flat I;3;-54,806,050;-68,300,740;Ushuaia
1629946;Eleton Resort & SPA;4;-31,403,540;-64,465,550;Villa Carlos Paz
1629946;Eleton Resort & SPA;4;-31,403,440;-64,465,620;Villa Carlos Paz
1630161;Ushuaia Flat II;3;-54,800,900;-68,319,410;Ushuaia
1630293;LOPEZ Hostel & Suites;3;-34,576,350;-58,432,860;Ciudad de Buenos Aires
1633264;Bahía de los teros;3;-40,799,730;-71,597,620;Villa la Angostura
1633273;Como en casa;2;-32,948,660;-60,637,160;Rosario
1633288;Hostel CasaGrande - Adults Only;1;-37,989,040;-57,550,190;Mar del Plata
1635095;Edificio Catalina;3;-36,622,320;-64,290,010;Santa Rosa
1635855;La Posada de la Linda;2;-24,794,580;-65,408,570;Salta
1638438;Great 1br Apartment Downtown Mendoza;3;-32,889,070;-68,840,200;Mendoza
1639791;Avemar Apart Hotel;2;-27,374,320;-55,887,950;Posadas
1639961;Oko Apartment;3;-24,774,220;-65,409,710;Salta
1640607;Virreinato Hotel Boutique;3;-31,418,890;-64,187,660;Córdoba
1640793;Sol Huasi Hostel Bar & BBQ;2;-24,786,710;-65,410,720;Salta
1641223;Plaza Hotel Paseo;3;-24,790,350;-65,419,520;Salta
1643902;Hostal Travellers;2;-24,792,460;-65,401,724;Salta
1643902;Hostal Travellers;2;-24,792,410;-65,401,700;Salta
1644083;Andino Aparts - El Chalten;2;-49,330,520;-72,895,600;El Chalten
1644083;Andino Aparts - El Chalten;2;-49,330,250;-72,895,620;El Chalten
1644083;Andino Aparts - El Chalten;2;-49,330,249;-72,895,623;El Chalten
1645949;Hotel Amayal;3;-25,597,910;-54,571,150;Iguazú
1645949;Hotel Amayal;3;-25,597,870;-54,570,950;Iguazú
1646392;Departamento en MDQ Morris by EF;2;-38,072,009;-57,549,318;Mar del Plata
1646458;Cozy apt in the heart of Mendoza;2;-32,889,070;-68,840,200;Mendoza
1646712;Hotel Master Suite Devoto;3;-34,608,050;-58,515,380;Ciudad de Buenos Aires
1646712;Hotel Master Suite Devoto;3;-34,607,950;-58,515,460;Ciudad de Buenos Aires
1648183;Mono Ambiente para 4 personas;3;-41,139,510;-71,324,310;Bariloche
1648261;Departamento Centrico Esquina Plaza Independencia;3;-32,890,710;-68,846,230;Mendoza
1651923;Vistamar Apartment;3;-38,005,560;-57,544,890;Mar del Plata
1652726;Faena Hotel - Master Suite Residence;5;-34,614,730;-58,361,650;Ciudad de Buenos Aires
1656479;Unit Santa Rosa;3;-36,625,510;-64,281,520;Santa Rosa
